home_team,season,stadium,stadium_age,temp_stadium,home_conference,home_Level_Division,Capacity,Reigning_Conference_Champ,Recruiting_Strength,Home_Games,Ranked_Opp,Nationally_Televised_Home_Games,AVG_Attend,AVG_CapFill,ConfNetwork,Season_Win_Total,Power5_School
Alabama,2017,Bryant-Denny Stadium,89,0,SEC,1-A,101821,1,314.18,7,1,6,101721.8571,0.999026302,1,13,1
Alabama,2018,Bryant-Denny Stadium,90,0,SEC,1-A,101821,0,306.7375,7,2,5,101561.5714,0.997452111,1,14,1
Alabama,2019,Bryant-Denny Stadium,91,0,SEC,1-A,101821,1,308.3375,7,0,6,101116.7143,0.9930831,1,11,1
Arizona,2011,Arizona Stadium,84,0,Pac-12,1-A,57400,0,186.15,6,2,3,48877.66667,0.851527294,0,4,1
Arizona,2012,Arizona Stadium,85,0,Pac-12,1-A,51811,0,183.695,8,3,3,47931.375,0.925119666,1,8,1
Arizona,2013,Arizona Stadium,86,0,Pac-12,1-A,56037,0,184.715,6,2,2,47618.83333,0.849774851,1,8,1
Arizona,2014,Arizona Stadium,87,0,Pac-12,1-A,56029,0,192.1,7,1,4,50710.42857,0.905074668,1,10,1
Arizona,2015,Arizona Stadium,88,0,Pac-12,1-A,56029,0,197.0075,6,2,3,51392.5,0.917248211,1,7,1
Arizona,2016,Arizona Stadium,89,0,Pac-12,1-A,55675,0,192.2975,7,2,4,48288.14286,0.867321829,1,3,1
Arizona,2017,Arizona Stadium,90,0,Pac-12,1-A,55675,0,191.54,6,2,2,42631.83333,0.765726688,1,7,1
Arizona,2018,Arizona Stadium,91,0,Pac-12,1-A,53646,0,182.725,7,1,6,45435.85714,0.846957036,1,5,1
Arizona,2019,Arizona Stadium,92,0,Pac-12,1-A,50782,0,181.75,6,1,4,39532.33333,0.778471374,1,4,1
Arizona State,2011,Sun Devil Stadium,54,0,Pac-12,1-A,71706,0,196.7125,7,2,3,59007.28571,0.822905834,0,6,1
Arizona State,2012,Sun Devil Stadium,55,0,Pac-12,1-A,71706,0,191.6325,6,1,3,56834.5,0.792604524,1,8,1
Arizona State,2013,Sun Devil Stadium,56,0,Pac-12,1-A,71706,0,187.0175,8,3,3,62688.625,0.874245182,1,10,1
Arizona State,2014,Sun Devil Stadium,57,0,Pac-12,1-A,65870,0,191.995,6,4,4,57178.83333,0.868055766,1,10,1
Arizona State,2015,Sun Devil Stadium,58,0,Pac-12,1-A,64248,0,213.5075,6,1,2,53747.5,0.836563006,1,6,1
Arizona State,2016,Sun Devil Stadium,59,0,Pac-12,1-A,56232,0,216.58,6,1,4,47736.16667,0.848914616,1,5,1
Arizona State,2017,Sun Devil Stadium,60,0,Pac-12,1-A,57078,0,220.055,7,3,2,51380,0.900171695,1,7,1
Arizona State,2018,Sun Devil Stadium,61,0,Pac-12,1-A,55000,0,216.0725,6,2,3,48515.16667,0.882093939,1,7,1
Arizona State,2019,Sun Devil Stadium,62,0,Pac-12,1-A,55000,0,212.83,7,1,3,49165.85714,0.893924675,1,8,1
Arkansas,2011,Razorback Stadium,74,0,SEC,1-A,72000,0,219.315,5,2,3,72119.2,1.001655556,0,11,1
Arkansas,2012,Razorback Stadium,75,0,SEC,1-A,72000,0,221.12,6,1,2,70157.16667,0.974405093,0,4,1
Arkansas,2013,Razorback Stadium,76,0,SEC,1-A,72000,0,217.0375,5,3,2,68567.6,0.952327778,0,3,1
Arkansas,2014,Razorback Stadium,77,0,SEC,1-A,72000,0,220.11,6,3,3,66520.66667,0.923898148,1,7,1
Arkansas,2015,Razorback Stadium,78,0,SEC,1-A,72000,0,219.1825,5,0,3,71496.4,0.993005556,1,8,1
Arkansas,2016,Razorback Stadium,79,0,SEC,1-A,72000,0,218.4875,6,3,4,73346.5,1.018701389,1,7,1
Arkansas,2017,Razorback Stadium,80,0,SEC,1-A,76000,0,217.5225,6,3,3,67752.33333,0.89147807,1,4,1
Arkansas,2018,Razorback Stadium,81,0,SEC,1-A,76000,0,212.69,6,1,1,61291.33333,0.806464912,1,2,1
Arkansas,2019,Razorback Stadium,82,0,SEC,1-A,76000,0,216.355,6,1,0,53759.33333,0.707359649,1,2,1
Arkansas State,2011,Centennial Bank Stadium,38,0,Sun Belt,1-A,30382,0,88.98,6,0,1,21256.83333,0.699652206,0,10,0
Arkansas State,2012,Centennial Bank Stadium,39,0,Sun Belt,1-A,30382,1,108.1175,6,0,0,26398.16667,0.868875211,0,10,0
Arkansas State,2013,Centennial Bank Stadium,40,0,Sun Belt,1-A,30382,1,116.54,5,0,1,23805.2,0.783529722,0,8,0
Arkansas State,2014,Centennial Bank Stadium,41,0,Sun Belt,1-A,30382,1,108.8825,6,0,0,24860.5,0.818264104,0,7,0
Arkansas State,2015,Centennial Bank Stadium,42,0,Sun Belt,1-A,30382,0,129.6825,6,1,1,23007.16667,0.757263072,0,9,0
Arkansas State,2016,Centennial Bank Stadium,43,0,Sun Belt,1-A,30382,1,122.2225,6,0,1,22700,0.747152919,0,8,0
Arkansas State,2017,Centennial Bank Stadium,44,0,Sun Belt,1-A,30382,1,122.5125,5,0,1,23907.6,0.786900138,0,7,0
Arkansas State,2018,Centennial Bank Stadium,45,0,Sun Belt,1-A,30382,0,131.565,6,0,1,19833.5,0.652804292,0,8,0
Arkansas State,2019,Centennial Bank Stadium,46,0,Sun Belt,1-A,30382,0,134.5425,6,0,0,20669.5,0.680320585,0,8,0
