NAME,AGE,YEAR,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS
Austin Cook,33,2020,"$386,353 ",162,0,60,11,0,0,70.6,293.8,66.7,68.2,1.779,42.1,3.717
Sebastian Cappelen,--,2020,"$371,482 ",156,19,53,8,1,0,71.3,303.7,51.1,64.4,1.785,47.7,3.509
Ted Potter Jr.,40,2020,"$361,540 ",163,19,44,4,2,0,71.1,290.2,60.7,68.9,1.789,39.4,3.455
Aaron Wise,27,2020,"$355,972 ",175,18,45,6,2,0,70.3,301.5,59.9,72.1,1.793,52.4,3.933
Branden Grace,35,2020,"$354,443 ",136,16,41,6,1,0,70.2,297.3,55.7,68.4,1.778,53.1,3.61
Patton Kizzire,38,2020,"$352,764 ",129,19,55,8,1,0,70.6,294.8,54,64.8,1.735,45.5,3.782
Séamus Power,37,2020,"$351,069 ",168,11,32,7,1,0,70,304.5,58.6,69.4,1.733,51.4,4.375
D.J. Trahan,43,2020,"$345,471 ",165,17,47,7,1,0,70.6,297.6,64.7,68.2,1.795,45.5,3.809
Brandon Hagy,32,2020,"$341,322 ",167,0,46,8,0,0,70.5,312.8,51,67.6,1.782,58.2,3.87
C.T. Pan,32,2020,"$329,997 ",112,0,56,9,0,0,71.2,287,60.3,67.3,1.798,46.2,3.214
James Hahn,42,2020,"$327,110 ",129,0,36,5,0,0,70.5,293.7,61.4,69.4,1.78,40.3,3.667
Hudson Swafford,36,2020,"$314,285 ",135,10,31,5,1,0,70.2,0,0,0,0,0,0
Tim Wilkinson,45,2020,"$307,772 ",183,0,46,9,0,0,70.1,284.7,68.3,67.4,1.762,48.6,3.609
Jason Dufner,46,2020,"$306,781 ",138,0,62,12,0,0,70.8,286.2,66.4,67.8,1.818,52.6,3.258
Peter Uihlein,34,2020,"$301,846 ",136,0,43,9,0,0,70.1,301.8,47.4,68,1.759,57.7,4
Kiradech Aphibarnrat,34,2020,"$293,119 ",94,7,19,2,1,0,70.6,0,0,0,0,0,0
David Hearn,44,2020,"$287,527 ",152,19,51,8,1,0,70.4,281.8,68.4,66.9,1.769,45.6,3.51
Aaron Baddeley,43,2020,"$286,504 ",153,0,47,7,0,0,70.4,284.9,59.5,64.9,1.738,56.3,3.957
Tyler McCumber,--,2020,"$284,230 ",151,0,53,10,0,0,71,310.2,54.3,66.2,1.804,39.2,3.792
George McNeill,48,2020,"$282,527 ",119,11,30,5,1,0,71.1,0,0,0,0,0,0
Mark Anderson,38,2020,"$278,630 ",154,0,47,9,0,0,70.6,293.1,59.5,66.8,1.809,54.9,3.043
Kris Ventura,29,2020,"$278,309 ",157,0,44,7,0,0,70.4,305.7,59.7,67.2,1.773,38.2,4.227
Dominic Bozzelli,32,2020,"$272,865 ",112,13,36,5,1,0,71.3,299,51.7,63,1.708,43.5,4.194
Ben Martin,36,2020,"$270,879 ",142,0,36,6,0,0,70.3,283.6,64.4,67.1,1.768,48.2,3.667
Chris Baker,--,2020,"$270,300 ",141,0,49,9,0,0,70.5,289.5,69.5,70.1,1.809,50.8,3.449
Wes Roach,35,2020,"$267,966 ",123,14,40,7,2,0,70.8,290.5,62.6,67.9,1.771,39,3.725
Kevin Tway,35,2020,"$256,320 ",110,0,48,7,0,0,71.5,303.8,49.9,62.6,1.787,39.2,3.292
Kramer Hickok,31,2020,"$253,646 ",131,0,49,7,0,0,70.7,292.8,67.2,66.2,1.825,49.2,3.184
Roger Sloan,36,2020,"$253,597 ",131,0,51,7,0,0,70.7,291.5,58.3,65.6,1.779,54.4,3.412
Chris Stroud,42,2020,"$249,013 ",120,0,46,6,0,0,70.8,287,59.4,64.6,1.738,53.3,3.826
Grayson Murray,30,2020,"$244,150 ",100,14,36,5,1,0,71.1,313.8,54.2,63.9,1.758,43.5,3.972
Jimmy Walker,45,2020,"$243,370 ",112,0,46,6,0,0,72,298,46.8,62.2,1.765,37.1,3.457
Michael Gligic,34,2020,"$238,411 ",132,0,48,8,0,0,70.9,298.4,59.5,67.1,1.788,50.8,3.583
Luke Donald,46,2020,"$232,875 ",89,0,34,6,0,0,70.9,0,0,0,0,0,0
Martin Laird,41,2020,"$232,786 ",106,12,39,7,1,0,70.4,302.1,63.7,70.5,1.806,32.2,3.59
J.J. Spaun,33,2020,"$232,472 ",102,0,58,10,0,0,71.3,297.4,57.8,66,1.758,45.8,3.81
Jim Furyk,53,2020,"$224,450 ",108,0,39,6,0,0,70.2,280.2,74.5,74.2,1.793,45.5,3.462
Zack Sucher,--,2020,"$215,568 ",114,0,36,5,0,0,71,301.6,53.3,68.4,1.79,48.3,3.889
Steve Stricker,57,2020,"$212,582 ",73,0,32,0,0,0,71.9,0,0,0,0,0,0
